id,video,emotion
1,https://www.instagram.com/reel/DNKcHgdA-d1/?igsh=MWFxdnhjbzh1YmdhYw%3D%3D,3
2,https://www.instagram.com/reel/DNHwrh2gnBm/?igsh=YTg3cGIycGtqbG51,3
3,https://www.instagram.com/reel/DM7QsjnRCoa/?igsh=NDQ1NW11a2ZiZW1y,3
4,https://www.instagram.com/reel/DNBBEt6Paxj/?igsh=MTB2bXgyMHhwaHI4dA%3D%3D,3
5,https://www.instagram.com/reel/DMz13fQzZsN/?igsh=MWxxcDA3N2VsenpnZw%3D%3D,0
6,https://www.instagram.com/reel/DMz1mj7s6u7/?igsh=MXQzN3ZoNWZsMGk5cg%3D%3D,3
7,https://www.instagram.com/reel/DMzlY-uxiog/?igsh=bGthOTk2Mm52YTJl,0
8,https://www.instagram.com/reel/DMuCyqkJwwB/?igsh=eTg2ZWtyYTF4ZWxh,0
9,https://www.instagram.com/reel/DMrSfkGzVwK/?igsh=MTY5aXFxNW8yejhwcA%3D%3D,1
10,https://www.instagram.com/reel/DMozK27xS7J/?igsh=d25seXltcmc2MWpq,3
11,https://www.instagram.com/reel/DMm5ofzxt1D/?igsh=OGd4eXA1MGJlaWV1,0
12,http://instagram.com/reel/DMmKMrNxr50/?igsh=MWgzOHlpNnd0M3VmNw%3D%3D,1
13,https://www.instagram.com/reel/DMkLaw4Rqt5/?igsh=MWNhMnR0aHp2cnc2ZQ%3D%3D,1
14,https://www.instagram.com/reel/DMjo8jKRvlV/?igsh=MWp1cHZ2dXd5aTNhaw%3D%3D,1
15,https://www.instagram.com/reel/DMXQuTKRfmV/?igsh=MXRqbjN1ZXhkenpxMg%3D%3D,3
16,https://www.instagram.com/reel/DMRqecSRm7M/?igsh=MWd0ejliMHhzZjhleg%3D%3D,3
17,https://www.instagram.com/reel/DMHyhTJRej0/?igsh=MWxoeTdpaTdsMnIxcQ%3D%3D,3
18,https://www.instagram.com/reel/DL1oBjdRc3-/?igsh=Ynp1NnIxcHN3cm9t,5
19,https://www.instagram.com/reel/DLuZNKOzFQ_/?igsh=M284bXZ6a3ppZHF5,1
20,https://www.instagram.com/reel/DLn8SMvyPca/?igsh=Z2tndjRmM2E4emhm,3
21,https://www.instagram.com/reel/DLd7bkYyuV6/?igsh=azBpd2VxMW5vM2I2,3
22,https://www.instagram.com/reel/DLW9kprxKTe/?igsh=bmwxdWJmeGd0YXY1,3
23,https://www.instagram.com/reel/DLluizmyaG9/?igsh=MXRpYjVtYzZ5OHV5MQ%3D%3D,3
24,https://www.instagram.com/reel/DK6gKdAxavr/?igsh=MTFtcXMyZXFmMmk1Mg%3D%3D,3
25,https://www.instagram.com/reel/DK6P7JxR2HP/?igsh=cW1rb3J0aWg5ZTk3,3
26,https://www.instagram.com/reel/DK5v1dZysCd/?igsh=MWwwbGR2ZDBldzZhZg%3D%3D,3
27,https://www.instagram.com/reel/DKyoWLZxUhw/?igsh=MWptanFveHI0MTZvag%3D%3D,3
28,https://www.instagram.com/reel/DKqTFiyyCqU/?igsh=c21yMHp5dDYzcWNy,3
29,https://www.instagram.com/reel/DKYsIP8TVcJ/?igsh=djZyM3RjZ2J2dW1t,0
30,https://www.instagram.com/reel/DNFwcqfS6Gv/?igsh=MTRzdTJ1MThmcm9pag%3D%3D,0
31,https://www.instagram.com/reel/DNCx0f7yuhu/?igsh=c3drc3p4N2h1bXE5,3
32,https://www.instagram.com/reel/DLrCQUayqES/?igsh=MXdoNm9qamZ2a3M2bA%3D%3D,3
33,https://www.instagram.com/reel/DKRqwksS_WC/?igsh=MWVwMDB6Y2JhbnVuZg%3D%3D,3
34,https://www.instagram.com/reel/DKQ8RCqypek/?igsh=eXdiamQ2aXd0Zm5t,2
35,https://www.instagram.com/reel/DJ3CggBSV0c/?igsh=emx2ZXFpc2lrYmt6,0
36,https://www.instagram.com/reel/DJbiKpfSoQS/?igsh=MTIzcWo1enhibjUydw%3D%3D,3
37,https://www.instagram.com/reel/DI24B5NS1Ng/?igsh=MTh6d2pjcXRsZmZ2aw%3D%3D,1
38,https://www.instagram.com/reel/DIu8g5XSNwT/?igsh=ejI0aWFzbDJpZmF4,3
39,https://www.instagram.com/reel/DHubvAIyjA_/?igsh=anp1aGhqM2docmd5,0
40,https://www.instagram.com/reel/DHTC04Vybkk/?igsh=MXIzYmx6NXBzdzdqOQ%3D%3D,3
41,https://www.instagram.com/reel/DG0Nu85ycJK/?igsh=eTU0ZnZrMjVpa2d4,0
42,https://www.instagram.com/reel/DGuKn9eS6IT/?igsh=MTl4ZnBkcWp1MXJzMQ%3D%3D,0
43,https://www.instagram.com/reel/DNF5kvrJIpl/,7
44,https://www.instagram.com/reel/DNDbR2lJ7sn/,3
45,https://www.instagram.com/reel/DNAxNJKpnJT/,2
46,https://www.instagram.com/reel/DM_4hlAJR8U/,3
47,https://www.instagram.com/reel/DM-MoXEJv7m/,3
48,https://www.instagram.com/reel/DM9-q-rpVW6/,3
49,https://www.instagram.com/reel/DM4qKYWJXcc/,3
50,https://www.instagram.com/reel/DMztaoaJdth/,2
51,https://www.instagram.com/reel/DMxecAZJV7F/,2
52,https://www.instagram.com/reel/DMwfzmvpolh/,3
53,https://www.instagram.com/reel/DMu0uGhJ-Ll/,3
54,https://www.instagram.com/reel/DMuIn2BJhgC/,2
55,https://www.instagram.com/reel/DMbifQvBvxE/,3
56,https://www.instagram.com/reel/DMaJB-KJbM1/,2
57,https://www.instagram.com/reel/DL8oCzzyd9d/,3
58,https://www.instagram.com/reel/DLzEOuRJyY9/,3
59,https://www.instagram.com/reel/DKuNykmzl8i/,2
60,https://www.instagram.com/reel/DK9I9hwpBxE/,3
61,https://www.instagram.com/reel/DK68neNpv_z/,5
62,https://www.instagram.com/reel/DK6KDASJ9q8/,7
63,https://www.instagram.com/reel/DK3mIHdzM65/,3
64,https://www.instagram.com/reel/DJqtB7upaqL/,2
65,https://www.instagram.com/reel/DJlvZ19pO3Z/,2
66,https://www.instagram.com/reel/DJTQJ6zJA33/,2
67,https://www.instagram.com/reel/DHwfy_cT9QI/,6
68,https://www.instagram.com/reel/DHt61dSzxF5/,3
69,https://www.instagram.com/reel/DHrWmL0zzRB/,3
70,https://www.instagram.com/reel/DHppRXQyl6Q/,2
71,https://www.instagram.com/reel/DHoxp-nTr5A/,3
72,https://www.instagram.com/reel/DHnNXV3JFse/,3
73,https://www.instagram.com/reel/DHMczehTEgW/,3
74,https://www.instagram.com/reel/DHK03enJEes/,3
75,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link,0
77,https://drive.google.com/file/d/1YIy7DteRuFINaJ7Wb2UQDIReVLnXngma/view?usp=share_link,3
78,https://www.instagram.com/reel/DC_j_grTwnj/,0
79,https://drive.google.com/file/d/15eAQE4XB1hNHvw1xth0HGhJXNXV-oWoh/view?usp=share_link,4
80,https://www.instagram.com/reel/DEH-AmOTZDB/,0
81,https://www.instagram.com/reel/DEhZ4GazM-B/,2
82,https://drive.google.com/file/d/19Caz_xMd2IIDY_NqjA3NK3VRG0SFs-zz/view?usp=share_link,5
83,https://www.instagram.com/reel/DHfq6pzz5va/,3
84,https://www.instagram.com/reel/DK2D0crz3Tc/,1
85,https://www.instagram.com/reel/DK4nDMezW1C/,1
86,https://www.instagram.com/reel/DK62VvLzqpA/,1
87,https://www.instagram.com/reel/DJ_x5YVPNwG/,0
88,https://www.instagram.com/reel/DJRcLlWvb8R/,3
103,https://www.instagram.com/reel/DNIZ-Qryj6Z/,3
104,"https://www.instagram.com/reel/DK_wDh1hwRG/
",5
105,https://www.instagram.com/tv/CCOSpdujJ4k/,0
106,https://www.instagram.com/reel/Cv1eEmSs7DX/,0
107,https://www.instagram.com/reel/DL99KPdPUlQ/,3
108,https://www.instagram.com/reel/DMHoJzjPQxD/,3
109,https://www.instagram.com/reel/DIPxjcdSdYv/,0
110,https://www.instagram.com/reel/DJ3wmd7PCCv/,1
111,https://www.instagram.com/reel/DJ5sGBJPo-t/,2
112,https://www.instagram.com/reel/DJdL3I_vyn7/,2
113,https://www.instagram.com/reel/DJhUFq8vZQK/,7
114,https://www.instagram.com/reel/DJiX-UIvH9_/,3
115,https://www.instagram.com/reel/DJrZS4wvzA1/,3
116,https://www.instagram.com/reel/DJsXnLOha8u/,2
117,https://www.instagram.com/reel/DJwP5StPWix/,0
